municipality:rel,province:rel,country:rel,age:attr,gender:rel,unemployment,date
Santa Pola,Alicante,Spain,25-44,Masculino,580,2017-01-01
Santa Pola,Alicante,Spain,>=45,Masculino,543,2017-01-01
Santa Pola,Alicante,Spain,<25,Femenino,92,2017-01-01
Santa Pola,Alicante,Spain,25-44,Femenino,790,2017-01-01
Santa Pola,Alicante,Spain,>=45,Femenino,777,2017-01-01
Altea,Alicante,Spain,<25,Masculino,47,2018-01-01
Altea,Alicante,Spain,25-44,Masculino,282,2018-01-01
Altea,Alicante,Spain,>=45,Masculino,380,2018-01-01
Altea,Alicante,Spain,<25,Femenino,41,2018-01-01
Altea,Alicante,Spain,25-44,Femenino,427,2018-01-01
Altea,Alicante,Spain,>=45,Femenino,436,2018-01-01
Benidorm,Alicante,Spain,<25,Masculino,234,2018-01-01
Benidorm,Alicante,Spain,25-44,Masculino,1183,2018-01-01
Benidorm,Alicante,Spain,>=45,Masculino,1288,2018-01-01
Benidorm,Alicante,Spain,<25,Femenino,180,2018-01-01
Benidorm,Alicante,Spain,25-44,Femenino,1502,2018-01-01
Benidorm,Alicante,Spain,>=45,Femenino,1805,2018-01-01
Elda,Alicante,Spain,<25,Masculino,250,2018-01-01
Elda,Alicante,Spain,25-44,Masculino,853,2018-01-01
Elda,Alicante,Spain,>=45,Masculino,1181,2018-01-01
Elda,Alicante,Spain,<25,Femenino,209,2018-01-01
Elda,Alicante,Spain,25-44,Femenino,1220,2018-01-01
Elda,Alicante,Spain,>=45,Femenino,2235,2018-01-01
Petrer,Alicante,Spain,<25,Masculino,119,2018-01-01
Petrer,Alicante,Spain,25-44,Masculino,466,2018-01-01
Petrer,Alicante,Spain,>=45,Masculino,810,2018-01-01
Petrer,Alicante,Spain,<25,Femenino,113,2018-01-01
Petrer,Alicante,Spain,25-44,Femenino,884,2018-01-01
Petrer,Alicante,Spain,>=45,Femenino,1681,2018-01-01
Santa Pola,Alicante,Spain,<25,Masculino,87,2018-01-01
Santa Pola,Alicante,Spain,25-44,Masculino,484,2018-01-01
Santa Pola,Alicante,Spain,>=45,Masculino,543,2018-01-01
Santa Pola,Alicante,Spain,<25,Femenino,91,2018-01-01
Santa Pola,Alicante,Spain,25-44,Femenino,752,2018-01-01
Santa Pola,Alicante,Spain,>=45,Femenino,807,2018-01-01
Altea,Alicante,Spain,<25,Masculino,57,2019-01-01
Altea,Alicante,Spain,25-44,Masculino,261,2019-01-01
Altea,Alicante,Spain,>=45,Masculino,359,2019-01-01
Altea,Alicante,Spain,<25,Femenino,55,2019-01-01
Altea,Alicante,Spain,25-44,Femenino,369,2019-01-01
Altea,Alicante,Spain,>=45,Femenino,454,2019-01-01
Benidorm,Alicante,Spain,<25,Masculino,225,2019-01-01
Benidorm,Alicante,Spain,25-44,Masculino,1126,2019-01-01
Benidorm,Alicante,Spain,>=45,Masculino,1277,2019-01-01
Benidorm,Alicante,Spain,<25,Femenino,204,2019-01-01
Benidorm,Alicante,Spain,25-44,Femenino,1494,2019-01-01
Benidorm,Alicante,Spain,>=45,Femenino,1816,2019-01-01
Elda,Alicante,Spain,<25,Masculino,239,2019-01-01
Elda,Alicante,Spain,25-44,Masculino,757,2019-01-01
Elda,Alicante,Spain,>=45,Masculino,1109,2019-01-01
Elda,Alicante,Spain,<25,Femenino,193,2019-01-01
Elda,Alicante,Spain,25-44,Femenino,1161,2019-01-01
Elda,Alicante,Spain,>=45,Femenino,2105,2019-01-01
Petrer,Alicante,Spain,<25,Masculino,143,2019-01-01
Petrer,Alicante,Spain,25-44,Masculino,453,2019-01-01
Petrer,Alicante,Spain,>=45,Masculino,760,2019-01-01
Petrer,Alicante,Spain,<25,Femenino,88,2019-01-01
Petrer,Alicante,Spain,25-44,Femenino,817,2019-01-01
Petrer,Alicante,Spain,>=45,Femenino,1669,2019-01-01
Santa Pola,Alicante,Spain,<25,Masculino,83,2019-01-01
Santa Pola,Alicante,Spain,25-44,Masculino,428,2019-01-01
Santa Pola,Alicante,Spain,>=45,Masculino,530,2019-01-01
Santa Pola,Alicante,Spain,<25,Femenino,95,2019-01-01
